"host_since","host_is_superhost","neighbourhood_cleansed","room_type","accommodates","price","review_scores_rating","number_of_reviews","minimum_nights","reviews_per_month","bedrooms","beds","availability_30","last_review","license","instant_bookable","prop_type_simplified","price_4_nights"
2012-07-12,FALSE,"Top 6-10","Entire home/apt",4,140,4.83,7,2,0.06,4,4,0,2015-08-05,"no",FALSE,"Entire rental unit",560
2012-07-12,FALSE,"Top 5","Entire home/apt",4,295,5,11,2,0.11,4,0,0,2016-09-10,"yes",FALSE,"Entire rental unit",1180
2012-07-13,FALSE,"Top 6-10","Entire home/apt",4,430,4.43,210,2,2.07,1,2,30,2017-04-26,"no",FALSE,"Entire rental unit",1720
2012-07-08,FALSE,"Top 5","Entire home/apt",2,200,4.83,32,2,0.29,1,1,0,2015-10-07,"no",FALSE,"Entire rental unit",800
2012-07-18,FALSE,"Top 5","Entire home/apt",2,150,4.89,20,4,0.23,2,4,0,2015-06-23,"no",FALSE,"Entire rental unit",600
2012-07-21,FALSE,"Top 6-10","Private room",2,92,4.73,296,2,2.97,1,1,18,2020-02-12,"yes",FALSE,"Other",368
2012-05-28,FALSE,"Top 6-10","Entire home/apt",4,232,4.88,34,2,0.39,2,2,0,2017-01-01,"no",FALSE,"Entire rental unit",928
2012-07-24,FALSE,"Top 11-15","Private room",2,87,4.85,374,1,3.61,1,1,28,2019-07-31,"yes",FALSE,"Other",348
2011-06-27,FALSE,"Top 6-10","Private room",2,25,4.84,195,1,1.9,1,1,0,2018-07-11,"no",FALSE,"Other",100
2012-06-29,FALSE,"Top 6-10","Entire home/apt",3,235,4.97,32,3,0.68,2,2,28,2019-07-18,"no",FALSE,"Entire rental unit",940
2012-06-20,FALSE,"Top 6-10","Entire home/apt",4,450,5,20,3,0.26,3,2,0,2021-08-11,"yes",FALSE,"Entire rental unit",1800
2012-07-18,FALSE,"Top 6-10","Entire home/apt",5,275,4.86,28,4,0.31,3,5,0,2019-08-03,"no",FALSE,"Entire rental unit",1100
2012-07-29,FALSE,"Top 6-10","Entire home/apt",2,140,4.65,18,4,0.18,1,2,0,2017-03-26,"no",TRUE,"Entire rental unit",560
2012-07-30,FALSE,"Top 6-10","Entire home/apt",2,70,4.67,71,2,0.72,1,1,0,2017-02-27,"no",FALSE,"Entire rental unit",280
2012-08-08,FALSE,"Top 11-15","Entire home/apt",4,105,5,1,2,0.01,2,2,0,2014-01-06,"no",FALSE,"Entire rental unit",420
2012-08-09,FALSE,"Top 5","Entire home/apt",2,139,4.53,107,2,1.14,1,1,0,2017-04-26,"no",FALSE,"Entire rental unit",556
2012-08-16,FALSE,"Top 5","Entire home/apt",2,120,4.46,28,3,0.32,1,0,0,2019-07-29,"no",FALSE,"Entire rental unit",480
2012-08-15,TRUE,"Top 6-10","Entire home/apt",2,106,4.48,106,2,1.17,1,1,0,2018-09-25,"no",FALSE,"Entire rental unit",424
2012-08-17,FALSE,"Top 6-10","Entire home/apt",2,140,4.63,29,3,0.71,1,1,0,2018-07-02,"no",FALSE,"Entire rental unit",560
2012-08-16,TRUE,"Top 5","Hotel room",2,111,4.84,689,1,6.74,1,1,4,2021-08-23,"yes",TRUE,"Other",444
2012-08-16,TRUE,"Top 5","Hotel room",2,111,4.87,587,1,5.48,1,1,3,2020-02-22,"yes",TRUE,"Other",444
2012-08-19,FALSE,"Top 5","Entire home/apt",4,150,4.75,4,4,0.06,2,2,0,2016-08-10,"no",FALSE,"Entire rental unit",600
2012-08-22,FALSE,"Top 6-10","Entire home/apt",4,275,4.81,37,4,0.53,4,6,8,2018-08-12,"yes",FALSE,"Entire townhouse",1100
2012-08-23,FALSE,"Top 6-10","Entire home/apt",4,163,4.9,12,4,0.16,2,2,0,2015-09-26,"no",FALSE,"Entire residential home",652
2012-08-26,FALSE,"Top 5","Entire home/apt",2,147,4.69,29,3,0.35,1,1,0,2015-10-05,"no",FALSE,"Entire rental unit",588
2012-05-26,FALSE,"Top 5","Entire home/apt",2,174,4.84,26,2,0.27,1,1,0,2018-04-30,"no",FALSE,"Entire rental unit",696
2012-01-15,FALSE,"Top 5","Entire home/apt",2,190,4.82,30,2,0.52,1,1,0,2019-10-25,"no",FALSE,"Entire rental unit",760
2012-08-31,FALSE,"Top 11-15","Entire home/apt",2,69,4.75,4,2,0.05,1,1,0,2015-07-09,"no",FALSE,"Entire residential home",276
2012-09-01,FALSE,"Top 6-10","Entire home/apt",4,100,4.6,16,2,0.16,2,2,0,2019-08-14,"no",FALSE,"Entire rental unit",400
2012-09-02,FALSE,"Top 5","Entire home/apt",2,150,4.62,30,2,0.76,1,1,0,2019-08-02,"no",FALSE,"Entire rental unit",600
2012-09-03,FALSE,"Top 5","Entire home/apt",2,395,4.94,51,3,0.59,1,1,1,2021-08-12,"yes",FALSE,"Entire rental unit",1580
2012-05-07,FALSE,"Top 5","Private room",2,59,4.64,446,1,5.15,1,1,15,2020-08-08,"yes",FALSE,"Private room in rental unit",236
2012-09-10,FALSE,"Top 5","Private room",3,125,4.51,433,2,4.02,1,2,22,2020-03-12,"yes",TRUE,"Other",500
2012-09-12,FALSE,"Top 6-10","Entire home/apt",2,95,4.73,11,1,0.12,2,2,0,2018-06-29,"yes",FALSE,"Entire rental unit",380
2012-05-06,FALSE,"Top 6-10","Entire home/apt",2,98,4.81,53,3,0.62,1,1,0,2019-08-06,"yes",FALSE,"Entire rental unit",392
2012-09-13,FALSE,"Top 6-10","Entire home/apt",3,95,4.67,60,2,0.67,2,0,0,2019-07-20,"yes",FALSE,"Entire rental unit",380
2012-09-16,FALSE,"Top 5","Entire home/apt",2,90,4.61,24,3,0.27,1,1,0,2015-05-25,"no",TRUE,"Entire rental unit",360
2012-07-25,FALSE,"Top 6-10","Entire home/apt",4,132,4.13,9,2,0.11,2,4,0,2014-06-16,"no",FALSE,"Entire rental unit",528
2012-08-28,FALSE,"Top 5","Entire home/apt",2,219,4.65,120,1,1.22,1,1,0,2018-09-15,"no",FALSE,"Entire rental unit",876
2012-09-23,FALSE,"Top 5","Entire home/apt",2,110,4.53,258,3,2.63,1,1,22,2019-11-26,"yes",FALSE,"Entire rental unit",440
2012-09-09,FALSE,"Top 5","Entire home/apt",4,275,4.81,27,4,0.28,5,10,0,2019-08-14,"no",FALSE,"Entire townhouse",1100
2012-09-22,TRUE,"Top 5","Private room",2,90,4.87,186,3,2.72,1,1,0,2020-01-28,"no",FALSE,"Private room in rental unit",360
